,MBID,#1 Most Used Key,Rate of 1st,#2 Most Used Key,Rate of 2nd,Total # Duplicates
1,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,50.0,C#minor,50.0,4
2,27c4755a-7299-49a6-8e46-227eb4ebf575,Gmajor,33.3333333333,C#minor,33.33333333333333,3
3,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,C#minor,66.6666666667,Gmajor,33.33333333333333,3
4,27c4755a-7299-49a6-8e46-227eb4ebf575,Gmajor,80.0,Cmajor,20.0,5
5,27089139-92c0-499c-9597-c66c9b11bdfd,C#minor,66.6666666667,Gmajor,33.33333333333333,3
6,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,66.6666666667,Fminor,33.33333333333333,3
7,27089139-92c0-499c-9597-c66c9b11bdfd,Cmajor,66.6666666667,Gmajor,33.33333333333333,3
8,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,60.0,Fmajor,40.0,5
9,27f5b46c-f749-40e7-bc10-1524393168f0,Gmajor,66.6666666667,Cmajor,33.33333333333333,3
10,27f5b46c-f749-40e7-bc10-1524393168f0,Cmajor,66.6666666667,Fminor,33.33333333333333,3
11,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,75.0,C#minor,25.0,4
12,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,66.6666666667,Gmajor,33.33333333333333,3
13,27c4755a-7299-49a6-8e46-227eb4ebf575,Gmajor,66.6666666667,Cmajor,33.33333333333333,3
14,27c4755a-7299-49a6-8e46-227eb4ebf575,C#minor,33.3333333333,Gmajor,33.33333333333333,3
15,27089139-92c0-499c-9597-c66c9b11bdfd,Cmajor,66.6666666667,C#minor,33.33333333333333,3
16,27089139-92c0-499c-9597-c66c9b11bdfd,Gmajor,66.6666666667,Cmajor,33.33333333333333,3
17,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,66.6666666667,Gmajor,33.33333333333333,3
18,27089139-92c0-499c-9597-c66c9b11bdfd,Gmajor,66.6666666667,Cmajor,33.33333333333333,3
19,27f5b46c-f749-40e7-bc10-1524393168f0,Cmajor,33.3333333333,C#minor,33.33333333333333,3
20,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,100.0,Nan,Nan,3
21,27f5b46c-f749-40e7-bc10-1524393168f0,C#minor,66.6666666667,Gmajor,33.33333333333333,3
22,27089139-92c0-499c-9597-c66c9b11bdfd,Cmajor,66.6666666667,Gmajor,33.33333333333333,3
23,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,66.6666666667,Gmajor,33.33333333333333,3
24,27089139-92c0-499c-9597-c66c9b11bdfd,Gmajor,66.6666666667,Fminor,33.33333333333333,3
25,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,50.0,Fmajor,25.0,4
26,27f5b46c-f749-40e7-bc10-1524393168f0,Gmajor,33.3333333333,Cmajor,33.33333333333333,3
27,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Fminor,50.0,Cmajor,50.0,4
28,27089139-92c0-499c-9597-c66c9b11bdfd,Gmajor,80.0,Cmajor,20.0,5
29,27f5b46c-f749-40e7-bc10-1524393168f0,Cmajor,75.0,C#minor,25.0,4
30,27c4755a-7299-49a6-8e46-227eb4ebf575,Cmajor,50.0,Fminor,25.0,4
31,27c4755a-7299-49a6-8e46-227eb4ebf575,Cmajor,66.6666666667,C#minor,33.33333333333333,3
32,27f5b46c-f749-40e7-bc10-1524393168f0,C#minor,33.3333333333,Fminor,33.33333333333333,3
33,27f5b46c-f749-40e7-bc10-1524393168f0,Cmajor,100.0,Nan,Nan,3
34,27f5b46c-f749-40e7-bc10-1524393168f0,Cmajor,33.3333333333,Gmajor,33.33333333333333,3
35,27089139-92c0-499c-9597-c66c9b11bdfd,Cmajor,25.0,Fmajor,25.0,4
36,27089139-92c0-499c-9597-c66c9b11bdfd,Cmajor,50.0,C#minor,25.0,4
37,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,66.6666666667,Fmajor,33.33333333333333,3
38,27f5b46c-f749-40e7-bc10-1524393168f0,Fminor,33.3333333333,Cmajor,33.33333333333333,3
39,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,75.0,Gmajor,25.0,4
40,27f5b46c-f749-40e7-bc10-1524393168f0,Cmajor,66.6666666667,Gmajor,33.33333333333333,3
41,27f5b46c-f749-40e7-bc10-1524393168f0,Cmajor,66.6666666667,Gmajor,33.33333333333333,3
42,27089139-92c0-499c-9597-c66c9b11bdfd,Cmajor,66.6666666667,C#minor,33.33333333333333,3
43,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,75.0,Fmajor,25.0,4
44,27089139-92c0-499c-9597-c66c9b11bdfd,Gmajor,50.0,Cmajor,25.0,4
45,27c4755a-7299-49a6-8e46-227eb4ebf575,Gmajor,75.0,Cmajor,25.0,4
46,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,C#minor,33.3333333333,Cmajor,33.33333333333333,3
47,27f5b46c-f749-40e7-bc10-1524393168f0,Gmajor,66.6666666667,Emajor,33.33333333333333,3
48,27089139-92c0-499c-9597-c66c9b11bdfd,Cmajor,100.0,Nan,Nan,3
49,27f5b46c-f749-40e7-bc10-1524393168f0,Cmajor,33.3333333333,A#major,33.33333333333333,3
50,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,Cmajor,80.0,C#minor,20.0,5
51,27f19d5f-a9dc-4b04-b7ff-54d045c1487c,C#minor,50.0,Gmajor,25.0,4
52,27f5b46c-f749-40e7-bc10-1524393168f0,Gmajor,66.6666666667,C#minor,33.33333333333333,3
53,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Cmajor,66.6666666667,Fminor,33.33333333333333,3
54,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,66.6666666667,Cmajor,33.33333333333333,3
55,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,66.6666666667,Cmajor,33.33333333333333,3
56,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Cmajor,66.6666666667,Emajor,33.33333333333333,3
57,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Aminor,100.0,Nan,Nan,4
58,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Aminor,50.0,Cmajor,25.0,4
59,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Aminor,66.6666666667,Cmajor,33.33333333333333,3
60,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,33.3333333333,Cmajor,33.33333333333333,3
61,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,66.6666666667,Cmajor,33.33333333333333,3
62,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Cmajor,33.3333333333,Aminor,33.33333333333333,3
63,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Aminor,33.3333333333,Fminor,33.33333333333333,3
64,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Cmajor,60.0,Aminor,40.0,5
65,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Aminor,80.0,Fminor,20.0,5
66,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Aminor,33.3333333333,Cmajor,33.33333333333333,3
67,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Aminor,50.0,Cmajor,25.0,4
68,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Aminor,66.6666666667,Bmajor,33.33333333333333,3
69,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Aminor,66.6666666667,Cmajor,33.33333333333333,3
70,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,100.0,Nan,Nan,3
71,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,66.6666666667,Cmajor,33.33333333333333,3
72,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Cmajor,66.6666666667,Aminor,33.33333333333333,3
73,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,100.0,Nan,Nan,4
74,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Bmajor,33.3333333333,Cmajor,33.33333333333333,6
75,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Cmajor,75.0,Aminor,25.0,4
76,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,66.6666666667,Bmajor,33.33333333333333,3
77,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Aminor,80.0,Cmajor,20.0,5
78,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Aminor,50.0,Cmajor,50.0,4
79,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Cmajor,75.0,Aminor,25.0,4
80,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Aminor,75.0,Fminor,25.0,4
81,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,50.0,Fminor,25.0,4
82,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Aminor,75.0,Bmajor,25.0,4
83,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,100.0,Nan,Nan,3
84,cd80145d-f897-4469-a7d5-cedc6d83b816,Cmajor,66.6666666667,Fminor,33.33333333333333,3
85,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Cmajor,37.5,Bmajor,25.0,8
86,cd80145d-f897-4469-a7d5-cedc6d83b816,Aminor,66.6666666667,Cmajor,33.33333333333333,3
87,cd3f5efa-bc5e-4064-a765-960494ad4bb4,Cmajor,66.6666666667,Aminor,33.33333333333333,3
88,cd7c7fc6-c8dc-4b3e-8ae7-b92bb301bb3b,Cmajor,75.0,Aminor,25.0,4
89,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Gmajor,75.0,A#major,11.11111111111111,36
90,1be4459a-4bda-4530-bf8e-421fdddbdbfc,A#minor,40.0,A#major,40.0,5
91,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,100.0,Nan,Nan,3
92,1be4459a-4bda-4530-bf8e-421fdddbdbfc,A#minor,33.3333333333,Amajor,33.33333333333333,3
93,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,75.0,A#minor,25.0,4
94,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,A#major,66.6666666667,Amajor,33.33333333333333,3
95,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,71.4285714286,A#minor,14.285714285714285,7
96,1be4459a-4bda-4530-bf8e-421fdddbdbfc,A#minor,100.0,Nan,Nan,3
97,1be4459a-4bda-4530-bf8e-421fdddbdbfc,A#minor,75.0,Amajor,25.0,4
98,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,66.6666666667,A#minor,33.33333333333333,3
99,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,A#minor,50.0,Amajor,50.0,4
100,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,66.6666666667,A#major,33.33333333333333,3
101,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,87.5,A#minor,12.5,8
102,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,75.0,A#minor,12.5,8
103,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,A#minor,66.6666666667,Amajor,33.33333333333333,3
104,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,75.0,A#minor,25.0,4
105,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,80.0,A#minor,20.0,5
106,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,60.0,A#minor,40.0,5
107,1be4459a-4bda-4530-bf8e-421fdddbdbfc,A#minor,66.6666666667,Amajor,33.33333333333333,3
108,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,66.6666666667,A#minor,33.33333333333333,3
109,1bfc064e-fcd0-406b-98ca-1ec69f72fef6,Amajor,83.3333333333,A#major,16.666666666666664,6
110,7eca082a-4b79-49d9-812d-1c9711cfe346,Dmajor,60.0,A#minor,20.0,5
111,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,Emajor,100.0,Nan,Nan,3
112,7eca082a-4b79-49d9-812d-1c9711cfe346,Emajor,66.6666666667,F#major,33.33333333333333,3
113,7eca082a-4b79-49d9-812d-1c9711cfe346,Emajor,60.0,Fminor,20.0,5
114,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,Amajor,66.6666666667,A#minor,33.33333333333333,3
115,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,Fmajor,50.0,F#minor,25.0,4
116,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,C#minor,50.0,Dmajor,25.0,4
117,7eca082a-4b79-49d9-812d-1c9711cfe346,Dmajor,66.6666666667,A#minor,33.33333333333333,3
118,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,Fminor,33.3333333333,Fmajor,33.33333333333333,3
119,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,F#major,33.3333333333,Emajor,33.33333333333333,3
120,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,F#major,33.3333333333,Emajor,33.33333333333333,3
121,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,Dmajor,60.0,F#major,20.0,5
122,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,F#major,33.3333333333,Amajor,33.33333333333333,3
123,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,Fmajor,33.3333333333,Emajor,33.33333333333333,3
124,7e52d1a9-6c02-4f2e-b30e-dc22ef219f3f,F#minor,33.3333333333,Emajor,33.33333333333333,3
125,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,Emajor,66.6666666667,C#minor,33.33333333333333,3
126,7e52d1a9-6c02-4f2e-b30e-dc22ef219f3f,F#major,66.6666666667,F#minor,33.33333333333333,3
127,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,A#minor,33.3333333333,Amajor,33.33333333333333,3
128,7eca082a-4b79-49d9-812d-1c9711cfe346,Dmajor,60.0,F#major,20.0,5
129,7eca082a-4b79-49d9-812d-1c9711cfe346,C#minor,33.3333333333,Dmajor,33.33333333333333,3
130,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,Amajor,33.3333333333,Emajor,33.33333333333333,3
131,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,Fmajor,33.3333333333,Emajor,33.33333333333333,3
132,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,Dmajor,66.6666666667,Emajor,33.33333333333333,3
133,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,Dmajor,33.3333333333,C#minor,33.33333333333333,3
134,7e52d1a9-6c02-4f2e-b30e-dc22ef219f3f,Dmajor,33.3333333333,F#major,33.33333333333333,3
135,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,Emajor,33.3333333333,F#major,33.33333333333333,3
136,7eca082a-4b79-49d9-812d-1c9711cfe346,F#minor,33.3333333333,C#minor,33.33333333333333,3
137,7eca082a-4b79-49d9-812d-1c9711cfe346,Fminor,33.3333333333,Amajor,33.33333333333333,3
138,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,Amajor,33.3333333333,Fminor,33.33333333333333,3
139,7eca082a-4b79-49d9-812d-1c9711cfe346,Dmajor,66.6666666667,Emajor,33.33333333333333,3
140,7e52d1a9-6c02-4f2e-b30e-dc22ef219f3f,Fminor,33.3333333333,Amajor,33.33333333333333,6
141,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,Amajor,50.0,Emajor,25.0,4
142,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,F#major,33.3333333333,Emajor,33.33333333333333,3
143,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,F#major,100.0,Nan,Nan,3
144,7e52d1a9-6c02-4f2e-b30e-dc22ef219f3f,Dmajor,66.6666666667,A#minor,33.33333333333333,3
145,7e52d1a9-6c02-4f2e-b30e-dc22ef219f3f,Emajor,25.0,A#minor,25.0,4
146,7eca082a-4b79-49d9-812d-1c9711cfe346,F#major,66.6666666667,Emajor,33.33333333333333,3
147,7e4bcb1b-ebc2-4a26-905b-5303e54e6f3e,C#minor,33.3333333333,Dmajor,33.33333333333333,3
148,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,Dmajor,33.3333333333,Fminor,33.33333333333333,3
149,7ed813a3-56b6-4acf-8cbe-c89bc750ec15,F#major,33.3333333333,Emajor,33.33333333333333,3
150,7eca082a-4b79-49d9-812d-1c9711cfe346,F#major,66.6666666667,Emajor,33.33333333333333,3
151,7e52d1a9-6c02-4f2e-b30e-dc22ef219f3f,F#major,66.6666666667,Fminor,33.33333333333333,3
152,7eca082a-4b79-49d9-812d-1c9711cfe346,Emajor,33.3333333333,C#minor,33.33333333333333,3
153,7e52d1a9-6c02-4f2e-b30e-dc22ef219f3f,Amajor,25.0,Eminor,25.0,4
154,9f381fef-7bbd-4f2a-be8b-2acd072bb7e1,A#minor,66.6666666667,Gmajor,33.33333333333333,3
155,9ffabbe4-e078-4906-80a7-3a02b537e251,A#minor,66.6666666667,Amajor,33.33333333333333,3
156,9ffabbe4-e078-4906-80a7-3a02b537e251,Gmajor,66.6666666667,Amajor,33.33333333333333,3
157,9f9cf187-d6f9-437f-9d98-d59cdbd52757,F#minor,33.3333333333,A#minor,33.33333333333333,3
158,9f6d644d-b1f9-4c29-8e7d-18cf12434d7b,A#minor,66.6666666667,Fmajor,33.33333333333333,3
159,9f6d644d-b1f9-4c29-8e7d-18cf12434d7b,Cminor,66.6666666667,Gmajor,33.33333333333333,3
160,9ffabbe4-e078-4906-80a7-3a02b537e251,Fmajor,50.0,Cminor,25.0,4
161,9f6d644d-b1f9-4c29-8e7d-18cf12434d7b,Gmajor,66.6666666667,Fmajor,33.33333333333333,3
162,9f9cf187-d6f9-437f-9d98-d59cdbd52757,Cminor,33.3333333333,Gmajor,33.33333333333333,3
163,9ffabbe4-e078-4906-80a7-3a02b537e251,Fminor,33.3333333333,Gmajor,33.33333333333333,3
164,9f381fef-7bbd-4f2a-be8b-2acd072bb7e1,Gmajor,25.0,Amajor,25.0,4
165,9f381fef-7bbd-4f2a-be8b-2acd072bb7e1,Gmajor,50.0,A#minor,25.0,4
166,9f381fef-7bbd-4f2a-be8b-2acd072bb7e1,A#minor,33.3333333333,Gmajor,33.33333333333333,3
167,9f9cf187-d6f9-437f-9d98-d59cdbd52757,A#minor,33.3333333333,F#minor,33.33333333333333,3
168,9f6d644d-b1f9-4c29-8e7d-18cf12434d7b,A#minor,66.6666666667,Aminor,33.33333333333333,3
169,9ffabbe4-e078-4906-80a7-3a02b537e251,Amajor,50.0,Cminor,25.0,4
170,9ffabbe4-e078-4906-80a7-3a02b537e251,F#minor,33.3333333333,A#major,33.33333333333333,3
171,9f94dca3-c874-475e-b5f1-2d8be07a1715,Gmajor,66.6666666667,Cmajor,33.33333333333333,3
172,9f381fef-7bbd-4f2a-be8b-2acd072bb7e1,Fmajor,40.0,Amajor,20.0,5
173,9ffabbe4-e078-4906-80a7-3a02b537e251,A#minor,33.3333333333,Gmajor,33.33333333333333,3
174,9f94dca3-c874-475e-b5f1-2d8be07a1715,Gmajor,66.6666666667,Cminor,33.33333333333333,3
175,9f381fef-7bbd-4f2a-be8b-2acd072bb7e1,Amajor,33.3333333333,Fminor,33.33333333333333,3
